date,room_id,song_id,song_name,copyright_owner,duration_sec,version_tag
2026-05-01,A01,S001,月亮代表我的心,华纳音乐,240,v2.1
2026-05-01,A01,S002,海阔天空,英皇娱乐,310,v1.0
2026-05-01,A02,S001,月亮代表我的心,华纳音乐,240,v2.1
2026-05-01,A02,S003,小幸运,相信音乐,280,v3.0
2026-05-02,A01,S002,海阔天空,英皇娱乐,310,v1.0
2026-05-02,A01,S004,光年之外,华纳音乐,260,v1.2
2026-05-02,A01,S002,海阔天空,英皇娱乐,310,v1.0
2026-05-02,A03,S005,起风了,索尼音乐,290,v2.0
2026-05-03,A02,S003,小幸运,相信音乐,280,v3.0
2026-05-03,A03,S001,月亮代表我的心,华纳音乐,240,v1.0
2026-05-03,A03,S006,稻香,杰威尔音乐,250,v1.0
